Test | reloss  1.17 | wloss  0.00 | acc 84.95 | ite 0.5083
Test | reloss  1.20 | wloss  0.00 | acc 85.24 | ite 0.8515
Test | reloss  1.23 | wloss  0.00 | acc 85.57 | ite 0.0348
Test | reloss  1.22 | wloss  0.00 | acc 85.54 | ite 0.0365
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0000
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0000
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0000
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0000
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0000
Test | reloss  1.06 | wloss  0.00 | acc 84.29 | ite 0.0823
Test | reloss  1.16 | wloss  0.00 | acc 85.41 | ite 0.0355
Test | reloss  1.15 | wloss  0.00 | acc 85.26 | ite 0.0491
Test | reloss  1.14 | wloss  0.00 | acc 85.57 | ite 0.0423
Test | reloss  1.12 | wloss  0.00 | acc 85.08 | ite 0.0505
Test | reloss  1.07 | wloss  0.00 | acc 100.00 | ite 0.0000
Test | reloss  1.05 | wloss  0.00 | acc 100.00 | ite 0.0000
Test | reloss  1.10 | wloss  0.00 | acc 100.00 | ite 0.0000
Test | reloss  0.92 | wloss  0.00 | acc 97.79 | ite 0.0000
Test | reloss  1.94 | wloss  0.00 | acc 97.29 | ite 0.0060
Test | reloss  1.94 | wloss  0.00 | acc 97.29 | ite 0.0060
Test | reloss  1.12 | wloss  0.00 | acc 85.08 | ite 0.0505
